Accession;Peptide count;Unique peptides;Confidence score;Anova (p);q Value;Max fold change;Power;Highest mean condition;Lowest mean condition;Mass;Description;W2_20241203_LSanders_A2_01;W2_20241203_LSanders_A2_02;W2_20241203_LSanders_A2_03;W4_20241203_LSanders_A3_01;W4_20241203_LSanders_A3_02;W4_20241203_LSanders_A3_03;W8_20241203_LSanders_A4_01;W8_20241203_LSanders_A4_02;W8_20241203_LSanders_A4_03;W12_20241203_LSanders_A5_01;W12_20241203_LSanders_A5_02;W12_20241203_LSanders_A5_03;W16_20241203_LSanders_A6_01;W16_20241203_LSanders_A6_02;W16_20241203_LSanders_A6_03;W20_20241203_LSanders_A7_01;W20_20241203_LSanders_A7_02;W20_20241203_LSanders_A7_03;W24_20241203_LSanders_A8_01;W24_20241203_LSanders_A8_02;W24_20241203_LSanders_A8_03;W28_20241203_LSanders_A9_01;W28_20241203_LSanders_A9_02;W28_20241203_LSanders_A9_03
P06276;21;17;123.3245;0;0;2.32901072338878;1;W4;W20;68988.4372;Cholinesterase OS=Homo sapiens OX=9606 GN=BCHE PE=1 SV=1;500910.315615691;492720.82039081;486249.034676552;904963.593370791;924282.778114864;905856.275642898;593375.930975903;571806.795655266;570186.04476511;461399.059620194;460005.39752364;453948.866700794;470346.37366298;452525.051980857;454805.19508122;392580.535106535;390213.249446887;391568.625916246;519555.518148976;542378.448296481;527693.238160251;435158.868252069;450885.14670595;435693.529567373
Q7Z7A1;9;5;60.8585;0;0;12.4537798832501;1;W28;W2;270026.512;Centriolin OS=Homo sapiens OX=9606 GN=CNTRL PE=1 SV=2;67713.0071114132;80827.483086939;87962.2811387115;343529.572157767;340971.684923706;347515.229001059;439185.111844434;437311.733771831;443801.620126436;202660.95460421;203289.973061554;200583.336708328;356014.657694834;358879.582530758;350376.301912551;357948.036281512;348090.934540983;338712.465869309;565938.630580812;574373.903357929;568513.897831291;956608.975022607;992393.001458681;996351.479529139
Q9Y490;28;25;182.7769;0;0;3.36562311456936;1;W0;W12;271934.572;Talin-1 OS=Homo sapiens OX=9606 GN=TLN1 PE=1 SV=3;122694.483738279;116275.823700134;114638.881260146;154476.056002685;157891.860701088;154821.08994276;75218.6603412878;69469.4544841107;73978.2506200514;56872.2692054555;55659.2799443547;55092.7275317601;69605.7832427585;69601.2184850029;69791.9073696801;62418.0074999954;65352.0909953633;63197.3041312177;78787.236531927;75585.5392808753;75122.3015909722;80561.5727206642;71691.9365293612;77199.1648510566
Q03591;11;1;84.7184;0;0;2.82598610236766;1;W2;W28;38791.1583;Complement factor H-related protein 1 OS=Homo sapiens OX=9606 GN=CFHR1 PE=1 SV=2;59362.4251322564;59062.4096704438;57582.7033266724;44793.6779537451;43737.3997948457;42804.3961470106;30305.5290466346;30138.3351371525;30897.2352967767;46935.3509329864;48683.0867805788;49754.5922072301;44786.9735525979;44066.6546256545;43919.7648557308;47677.0593232619;45395.2961092652;43305.0095833161;33048.2853275759;35434.088959202;35844.4835579191;20968.071419046;20204.799175105;21108.9424628595
P00734;68;58;488.9466;3.33066907387547E-16;5.74042533485463E-16;2.58567162289504;1;W4;W12;71519.6625;Prothrombin OS=Homo sapiens OX=9606 GN=F2 PE=1 SV=2;709607.300947365;672788.216846341;684495.997217491;1219393.52828093;1270623.91173233;1271172.78710713;617358.068196965;631037.902556412;648531.954315341;486314.770752457;480413.628684841;487899.556338922;706501.096213897;723549.72686541;708360.356169464;768744.937763109;763642.820543432;763781.682731422;796065.236900392;818738.545924546;784947.873470727;906482.238071673;944883.568042033;959073.988240845
Q9P212;9;8;48.2328;3.33066907387547E-16;5.74042533485463E-16;4.62145783493753;1;W2;W12;261908.5276;1-phosphatidylinositol 4_5-bisphosphate phosphodiesterase epsilon-1 OS=Homo sapiens OX=9606 GN=PLCE1 PE=1 SV=3;62821.3991163881;61421.0571091871;57148.0386960746;46733.9617359493;39008.5078605407;36917.9757348357;17712.8036367103;19080.0960948654;17361.6306363476;12910.2104188782;13174.6985166942;13164.7177840236;15992.6855332511;14722.9427589952;16580.0476484309;18164.8667220406;15088.8196080871;15211.2831559636;16600.4135696813;17633.9228019984;17534.5985511965;34843.153798211;32711.537749027;39727.6166316784
Q15166;9;5;73.9103;5.55111512312578E-16;8.2006076212209E-16;3.51959196594553;1;W2;W4;39835.6633;Serum paraoxonase/lactonase 3 OS=Homo sapiens OX=9606 GN=PON3 PE=1 SV=3;196786.77629133;193195.736206301;192158.09544086;55753.913355873;54444.7228297218;55201.3913093821;74636.8557550321;72809.9740059723;78216.4671454888;109638.178359148;109051.489939858;113278.349195811;71321.8404143485;77269.2875189769;80701.4967471411;63680.7481282864;69224.7472038886;70360.1580507204;53656.2135830938;49629.0659876453;63577.2334876946;89209.6056718347;84938.4412680002;85742.2653035305
A0A0A0MS15;11;9;73.1325;3.66373598126302E-15;4.5923402678837E-15;1.99687327069265;1;W2;W28;13227.038;Immunoglobulin heavy variable 3-49 OS=Homo sapiens OX=9606 GN=IGHV3-49 PE=1 SV=1;145678.573785845;140248.486599074;128788.389650531;131487.816348883;128454.721875819;130671.315182154;80952.1848900143;80850.6695678045;83084.5740991484;103260.65412496;103420.674133189;103706.743156608;94729.5754849847;96209.4047631921;94501.8251022693;102877.075120539;104293.153290172;105095.925243088;86348.1995419084;89568.9120405243;88192.6033290592;73277.5728274462;64761.799764227;69643.0357624628
P07357;33;30;231.0897;3.99680288865056E-15;4.5923402678837E-15;3.23830166302173;1;W12;W0;66874.1234;Complement component C8 alpha chain OS=Homo sapiens OX=9606 GN=C8A PE=1 SV=2;267301.751676309;240512.176725903;237698.939457927;111055.86686127;120233.94571135;123461.930635175;278828.324486759;281646.576716007;284716.021372134;360569.851750317;363186.333132994;351257.131736256;145389.356580104;148065.49618679;148424.874169231;165519.480134422;160860.397630618;164073.66018298;134548.80233134;135471.716431356;136804.852880999;130937.280416793;136517.179890795;139424.559667095
Q86YQ2;1;1;5.8624;8.54871728961371E-15;8.84025501567613E-15;6567.23667431148;1;W28;W4;19569.684;Putative BPIFA4P protein OS=Homo sapiens OX=9606 GN=BPIFA4P PE=5 SV=1;1284.18364622625;1254.73354120087;1134.98923970341;386.486282429733;417.25619902498;329.420588945564;466.357430488238;307.72246918005;667.216822119083;5737.51950819931;25310.5953406886;93708.000568995;202878.902633638;338599.25975079;558891.696055824;677539.311890043;809710.494309038;943262.226747008;1302913.12789813;1715870.97048703;1412348.90322097;2300683.0136212;2526986.57720721;2614080.48307968
Q9HAV4;5;3;36.3833;1.32116539930394E-14;1.16574791415509E-14;1.88416461521189;1;W28;W8;138421.5298;Exportin-5 OS=Homo sapiens OX=9606 GN=XPO5 PE=1 SV=1;212373.83572892;209165.301972749;208467.283539283;251311.947889739;255186.741177646;265196.764625999;192795.496829147;184071.773391085;200965.046863935;199869.621477201;201180.1366821;202444.902986863;198619.67685827;204821.045144997;203689.742735211;205339.016291199;203933.494104796;201124.988513326;272126.128320219;300280.671525195;277922.734357452;353586.820196427;367219.545426116;367924.839753343
Q969I3;5;1;39.0786;1.40998324127395E-14;1.16574791415509E-14;2.58634340975395;1;W28;W12;35443.3645;Glycine N-acyltransferase-like protein 1 OS=Homo sapiens OX=9606 GN=GLYATL1 PE=1 SV=1;30927.9168985737;28055.4694161598;26952.7524273496;52860.3081186489;53189.4294900247;51023.9710694022;31591.5866947907;30277.847261541;30460.1176244681;25742.8371826623;25608.8782645796;26311.4740114835;35105.6724991117;33711.5180005716;33417.3845335292;31216.1641147681;30147.3424485581;33468.8063342566;39860.9309250782;40026.6815845603;37463.9653102189;67693.0350653501;68343.5799111019;64827.0632605943
Q9C0D2;6;4;31.0708;1.46549439250521E-14;1.16574791415509E-14;4.91034976520283;1;W12;W0;296716.4088;Centrosomal protein of 295 kDa OS=Homo sapiens OX=9606 GN=CEP295 PE=1 SV=4;25599.4781979681;25965.252780495;24889.2739935832;9905.26541208893;9515.63112800152;12623.1222854146;21047.6906513996;21400.9194265113;21934.2017272608;33558.362358574;32874.1524576165;32898.176864174;13718.146522681;13818.8062198048;12187.3814758415;14314.5593450015;12804.226217263;14208.4468553718;11433.2788478632;9796.04801329552;10967.998618366;15047.6190238163;14589.9266109194;13418.2077085292
