Accession;Peptide count;Unique peptides;Confidence score;Anova (p);q Value;Max fold change;Power;Highest mean condition;Lowest mean condition;Mass;Description;W2_20241206_LSanders_K1_01;W2_20241206_LSanders_K1_02;W2_20241206_LSanders_K1_03;W4_20241206_LSanders_K2_01;W4_20241206_LSanders_K2_02;W4_20241206_LSanders_K2_03;W8_20241206_LSanders_K3_01;W8_20241206_LSanders_K3_02;W8_20241206_LSanders_K3_03;W12_20241206_LSanders_K4_01;W12_20241206_LSanders_K4_02;W12_20241206_LSanders_K4_03;W16_20241206_LSanders_K5_01;W16_20241206_LSanders_K5_02;W16_20241206_LSanders_K5_03;W20_20241206_LSanders_K6_01;W20_20241206_LSanders_K6_02;W20_20241206_LSanders_K6_03;W24_20241206_LSanders_K7_01;W24_20241206_LSanders_K7_02;W24_20241206_LSanders_K7_03;W28_20241206_LSanders_K8_01;W28_20241206_LSanders_K8_02;W28_20241206_LSanders_K8_03
A0A0B4J1X5;9;4;71.1789;0;0;5.97591756085972;1;W24;W28;13010.7201;Immunoglobulin heavy variable 3-74 OS=Homo sapiens OX=9606 GN=IGHV3-74 PE=1 SV=1;591041.700927546;599548.046860848;612967.381651242;562545.67841757;564410.594076623;590065.93044684;347339.088720518;345624.317039912;340454.822424233;499182.681419032;528878.210551582;555616.264308736;785243.664493254;779158.957607426;832120.001912182;634160.496735344;607630.446597434;631266.965769076;1390708.90180038;1399319.64873485;1394682.80455138;247685.89903234;222825.246586358;229751.418660148
A0A075B6I0;3;1;19.2806;0;0;Infinity;1;W28;W8;12928.4668;Immunoglobulin lambda variable 8-61 OS=Homo sapiens OX=9606 GN=IGLV8-61 PE=1 SV=7;17.4205323182246;52.7115726000121;50.8709687412173;128.523642092151;163.425258203981;155.462224314478;0;0;0;0;0;0;0;0;0;0;0;0;53.8315326111506;56.4719251802274;77.4427586713282;1835.06472069798;1681.65836658902;1234.25994561902
A0M8Q6;16;12;90.8148;0;0;6.52762547898217;1;W28;W8;11424.6835;Immunoglobulin lambda constant 7 OS=Homo sapiens OX=9606 GN=IGLC7 PE=1 SV=3;45705.5299489536;47309.9768416852;49700.0564498808;80329.992877091;88245.1732498675;93678.403530288;18796.3655652099;19725.5636009838;18284.2647005032;21269.6883291489;22021.9713436057;22686.6406376465;48203.5597120605;46196.9419172018;47687.4521288829;26167.2749519382;28241.2217767077;27511.1959634104;106282.013689147;101355.0350766;100216.065588385;115133.976265069;118189.391220881;137486.190962301
O43866;30;26;181.9956;0;0;4.92007062768295;1;W8;W2;39627.5677;CD5 antigen-like OS=Homo sapiens OX=9606 GN=CD5L PE=1 SV=1;36660.6143128952;36187.9326419602;35151.1101848302;50228.2497838296;55029.4553035915;50683.9813523745;169602.743165559;181394.497491105;180368.700236133;164539.474626315;155032.482743789;171367.61656187;50750.9433543693;54205.6148040346;56918.4827410358;65809.6886186369;71349.7682199583;71140.9004681166;50420.7794978181;49638.6004877023;46850.5058536767;50990.7489752636;52894.0381760721;50156.3949214445
P0DOX5;11;2;79.225;0;0;14.4253342747954;1;W8;W28;49956.1532;Immunoglobulin gamma-1 heavy chain OS=Homo sapiens OX=9606 PE=1 SV=2;25724.3546583254;28691.6326340609;23702.2257382803;18134.5941523008;17617.5782264012;16905.3304527612;32029.2325032532;30818.0844348904;33663.6950374919;26640.1791734677;26533.4019611611;27197.1999014391;22222.470733484;22154.4085693414;23666.7040590111;22396.3570057067;19417.0183273791;20753.265831441;25755.0054042553;28202.0881238316;25655.7630031484;2342.73770421943;2081.7769474724;2265.8684019795
P0DOX6;45;13;467.8846;0;0;5.88587912941014;1;W28;W8;64284.357;Immunoglobulin mu heavy chain OS=Homo sapiens OX=9606 PE=1 SV=2;269796.730719529;251603.763696123;243857.640572736;280600.167029729;290051.498218545;298917.784403156;63844.547360993;60231.4038923743;54325.5191244634;89410.1321222248;88403.5622929164;89319.3005765024;179998.906457504;184712.599169819;190057.520179487;103439.76269877;104002.117468789;102952.48727943;304767.445689173;304036.173896622;307801.340412176;351379.940979404;346281.821053927;352387.729119623
P00736;46;42;367.176;0;0;6.17044358079318;1;W20;W28;81658.4083;Complement C1r subcomponent OS=Homo sapiens OX=9606 GN=C1R PE=1 SV=2;74627.8514511912;81475.5103663986;79529.3415629921;46151.8803397525;48012.8400985503;44103.8265802148;216483.542217216;199810.429157895;189223.336462479;197401.739563632;189434.331908311;184314.024691002;215458.009525302;213191.402855523;215750.530060292;265330.939103281;281529.193686374;282883.856306116;88332.2562204356;87299.0148627734;91580.8905397764;49197.0691255881;43552.0673600014;41721.5832011646
P00740;13;10;81.8709;0;0;19.3637248044977;1;W28;W8;53147.1486;Coagulation factor IX OS=Homo sapiens OX=9606 GN=F9 PE=1 SV=2;44122.135369924;36390.9748298826;34995.8210473875;104111.808575666;104039.545294148;105002.842909324;6243.3767452684;6303.00061297219;6189.37913634526;6390.65994911036;6575.67893433537;7566.41250257114;13299.8358690249;13595.8972450776;13579.3638247407;14219.2930993831;15296.7187790358;15297.4660238601;40573.8207230315;39823.8321185134;41082.6770385212;123614.037587607;122260.383519152;116919.611658482
P01011;86;73;540.1159;0;0;8.52548410183275;1;W4;W8;47822.0525;Alpha-1-antichymotrypsin OS=Homo sapiens OX=9606 GN=SERPINA3 PE=1 SV=2;240627.110685605;249073.99662629;259113.485532851;420931.912097107;438164.417531343;450270.894619811;56972.4864200669;47722.4683938593;48887.7870701132;79402.4871212546;75361.5482754954;75739.4495152377;125675.280905686;126006.585515358;134116.769606474;59270.8753793919;59584.2459023425;58358.0181002283;282531.272831578;293451.424584332;295713.879414759;275086.601741577;267405.658970691;262278.511758441
P01834;27;16;188.552;0;0;2.96362298775045;1;W28;W12;11936.1291;Immunoglobulin kappa constant OS=Homo sapiens OX=9606 GN=IGKC PE=1 SV=2;1208987.48238826;1216714.11950618;1181015.30544962;1348588.44469069;1409186.60896644;1450821.36828808;752157.942230622;745913.734002815;709610.356041554;637055.179892013;645731.323316706;659829.831292821;1058153.80870823;1072726.47130878;1127179.18850862;920890.517349453;924532.558740921;951864.068281689;1797792.00831355;1726052.59402468;1753657.55299101;1850797.00379637;1879856.77939072;2026528.64212118
"P01857;P01860";16;2;90.075;0;0;4.76570225112715;1;W8;W28;44539.2442;Immunoglobulin heavy constant gamma 1 OS=Homo sapiens OX=9606 GN=IGHG1 PE=1 SV=2;27774.6547626229;28672.3011954848;26030.9658136491;16626.1612480922;16498.5651593944;15910.6042351224;41616.7089359878;41047.9360742733;41726.8733618929;30142.4316977929;29623.2260469086;31559.187103111;24805.2032947807;25832.3406521845;25314.0948727048;25150.7785310919;24704.6079948373;25059.6884906628;36252.5723257954;35679.5141134819;36449.2823450187;8803.67811206494;8865.51058735215;8432.21500089461
P01871;82;52;477.308;0;0;5.88587912941014;1;W28;W8;52550.9046;Immunoglobulin heavy constant mu OS=Homo sapiens OX=9606 GN=IGHM PE=1 SV=5;1040448.37738421;970288.731754609;940416.46008826;1082110.91995522;1118559.18296159;1152751.26916516;246211.121719001;232277.338128833;209501.79074765;344802.646941574;340920.895139635;344452.362732755;694150.628345943;712328.587437353;732940.825313345;398906.73608208;401075.409907073;397027.599451923;1175309.99542197;1172489.90732098;1187009.95499258;1355067.15912521;1335406.68885181;1358953.6092406
P06276;12;10;84.8225;0;0;6.11828753385086;1;W28;W8;68988.4372;Cholinesterase OS=Homo sapiens OX=9606 GN=BCHE PE=1 SV=1;188880.758128104;181725.892792586;171615.117964039;156780.30323388;162454.097728288;170331.713267295;65986.1986190577;63934.1916422485;65721.91472381;79867.7118217356;77139.4822085972;80585.0452489979;164254.534955788;158019.808774368;170111.027095153;83422.193648831;82667.7182936623;84976.8010878964;380030.213338803;383596.396717068;399248.77606503;390700.933852767;406915.352030633;399379.589800883
P07225;37;30;231.569;0;0;11.4305082435452;1;W8;W2;77175.6798;Vitamin K-dependent protein S OS=Homo sapiens OX=9606 GN=PROS1 PE=1 SV=1;22272.4349004354;22126.4261720067;19769.235249938;27891.986387247;29339.8435535635;30182.1210158923;246998.698519654;246570.509285557;239904.746180358;107740.632977503;111730.978594344;94561.0300756484;107558.266587029;106041.703944553;107501.279809539;96013.9443365549;100697.067267345;95727.8257903338;50068.788995234;48936.6933083729;51858.4111676097;34531.76363658;31335.3822452977;34052.4144776935
P07357;40;37;279.3491;0;0;4.96041138450207;1;W8;W24;66874.1234;Complement component C8 alpha chain OS=Homo sapiens OX=9606 GN=C8A PE=1 SV=2;169401.949331213;167525.018487702;162707.397513482;43463.711268297;45523.3855573402;46217.4643371632;201464.309142467;200008.615597611;183852.952040849;200757.620400496;188973.642388054;187937.162405936;74850.2242837494;76685.0857620273;78529.192899896;88176.3911801615;89199.3139305154;89988.0682412563;39840.2632352411;38316.00439425;39843.1947960802;88045.3642970754;91047.2090349802;95355.2098915356
P07737;1;1;7.3698;0;0;Infinity;1;W24;W12;15225.3488;Profilin-1 OS=Homo sapiens OX=9606 GN=PFN1 PE=1 SV=2;1124.23415434671;558.61981378458;1117.87816104911;1064.41704474292;715.508193512541;848.522766229987;0.906201870717384;0.375568595963314;0.497746936965565;0;0;0;1834.04417702515;1420.63029919847;1724.79533217051;1597.17250401737;1526.91301019971;1691.75602739294;5806.93809273922;5521.4814178561;5511.84967310563;1548.96700900427;2175.21288037166;1697.17882207788
P08185;30;26;204.4013;0;0;40.0021958769768;1;W24;W4;45312.064;Corticosteroid-binding globulin OS=Homo sapiens OX=9606 GN=SERPINA6 PE=1 SV=1;17947.1135322056;21571.162634024;22524.2202265038;23227.9222351827;17221.5012857599;19988.2929719768;388242.785297431;407483.941696345;437447.777696883;630691.454608331;757605.389967563;758702.749057136;568586.552352254;550582.430063261;555386.577550744;755139.736493026;716377.863006333;693885.429902623;790963.463650652;802875.566920185;823802.342936115;99530.6615075916;66345.2123601092;93611.3594355741
"P08603;Q02985";124;109;816.749;0;0;5.32373047092543;1;W8;W2;143772.7447;Complement factor H OS=Homo sapiens OX=9606 GN=CFH PE=1 SV=4;154373.572453805;136288.021680501;130116.912053798;189525.921310662;191512.839962295;195732.595299981;738740.215026002;734111.828735765;767259.311142327;611461.565883736;590018.22732536;588103.531808935;319483.658301964;324519.940433272;336509.493666149;494547.399348302;525552.572540196;529988.647879349;181712.386835712;174724.8470976;176041.410177319;216792.993292593;222687.378085997;236918.545871969
P08729;5;2;24.9223;0;0;6.98840321857514;1;W28;W16;51442.7715;Keratin_ type II cytoskeletal 7 OS=Homo sapiens OX=9606 GN=KRT7 PE=1 SV=5;143191.363240256;140143.59985096;144364.724067864;269394.606869561;274661.277170723;274401.178142301;182013.720592456;180833.598611896;176145.910437124;167685.624161934;153716.857879681;159184.536790247;88924.8603658612;86422.5117592546;91472.3110988476;124578.417352039;128977.534774095;127578.59961512;155234.918335547;158269.471129133;149479.62173522;614135.06646441;599673.78036605;650834.686191085
P29622;36;34;312.9005;0;0;9.15385098024874;1;W12;W2;48713.1283;Kallistatin OS=Homo sapiens OX=9606 GN=SERPINA4 PE=1 SV=3;110151.041696663;102696.622301217;100911.148708467;105124.427294673;110905.64097512;116414.882938733;773229.443520055;789678.889402276;726215.758688561;1018787.59116894;927410.920919387;925902.903165347;117325.042229512;114284.407266636;113882.760394647;163058.473071218;153002.733319717;159792.124728067;117400.957964537;116583.665363578;122088.55333579;143698.266787468;145464.628913264;148631.084150568
Q6P3S1;2;1;11.5142;0;0;119.727496378556;1;W4;W8;87407.1143;DENN domain-containing protein 1B OS=Homo sapiens OX=9606 GN=DENND1B PE=1 SV=2;26049.7490277437;22475.0581392521;19534.2712411965;38815.1622885852;40188.9683689158;39126.0435563293;273.134334254891;405.586450876515;307.937900525271;2363.64991261881;2506.06240316936;2969.65539108842;5600.64340472335;7691.34571692082;6104.41087344235;2384.62227927483;2358.14427215319;2697.77533901747;20991.389267533;21141.1507807319;21575.3668380582;34618.6012044816;32726.451229258;29618.8496951616
Q6TCH4;2;2;11.3502;0;0;81.1258091320285;1;W20;W4;38730.6392;Membrane progestin receptor delta OS=Homo sapiens OX=9606 GN=PAQR6 PE=1 SV=2;6422.4260817357;7365.86878008887;8340.85040795792;3249.04290015957;3814.13773147336;3721.51847838734;89362.8936498795;112523.00216887;113337.886924714;132543.607894161;132090.858380415;147309.964896879;193608.802415985;192935.616359146;193298.550845518;277477.335450897;305198.705882815;292241.40021215;42807.6245000343;42986.2425095384;46671.024057986;11221.4331992996;8487.44182017551;10084.4419625712
Q8NCU4;4;3;22.1204;0;0;16.1270359958202;1;W8;W4;111081.3211;Coiled-coil domain-containing protein 191 OS=Homo sapiens OX=9606 GN=CCDC191 PE=1 SV=1;128793.964452797;143234.842655057;124748.434344717;27015.2969228135;25153.5402142172;25766.3927632446;450967.080867028;437929.591605613;367967.585471618;295031.416258184;272130.180476074;266492.495722412;289629.840794747;307747.274536605;335588.053207003;403854.523984634;406619.539327091;416785.210337883;107649.807035582;112835.769939427;113529.375746073;44153.894278716;45572.0378682838;50437.8395713271
Q9BV73;6;5;39.6866;0;0;6.00283049668716;1;W4;W8;282049.9191;Centrosome-associated protein CEP250 OS=Homo sapiens OX=9606 GN=CEP250 PE=1 SV=2;30542.9679036413;26318.7198931771;25783.6590417703;35191.9388815339;36127.4618601302;36491.2940076324;6174.72794246112;5833.74990202944;5951.49867138723;6030.51042463363;5788.44842577808;6235.17323022897;9426.46733305048;9395.38516951029;9679.27019186025;7017.64489210564;6803.65284169187;7274.49677373492;25749.0311402974;26331.446751518;26491.4189556099;28475.8332246295;27639.9049041319;27745.9211813078
Q9H4A6;1;1;6.6277;0;0;Infinity;1;W4;W8;34095.7258;Golgi phosphoprotein 3 OS=Homo sapiens OX=9606 GN=GOLPH3 PE=1 SV=1;9025.86292156431;9578.08771710738;9189.46333015208;18964.0065065707;18833.3391260552;18097.3723790686;0;0;0;72.0739595309589;88.366801657322;163.023845801026;1556.15570242871;1473.03262468508;1055.73429515231;514.818191581276;411.369378128732;453.540191787458;1802.81269071813;1689.687167934;1573.21188277711;8014.1157821761;7202.12208012805;7157.63692918475
